iter	Logloss
0	0.6312296958
1	0.5854988826
2	0.5510705567
3	0.52333557
4	0.5016724111
5	0.4860895252
6	0.4752537006
7	0.4659740577
8	0.4586750444
9	0.4529673624
10	0.4468666452
11	0.4415232401
12	0.4373350108
13	0.433939493
14	0.4303627815
15	0.4273563669
16	0.4242232335
17	0.4223270699
18	0.4200432786
19	0.4184254542
20	0.4172209106
21	0.4161627254
22	0.4148689569
23	0.4132909354
24	0.4118636628
25	0.4108928435
26	0.4099435534
27	0.4089725932
28	0.4081623828
29	0.4076804088
30	0.407184254
31	0.4066906115
32	0.4061446331
33	0.405549373
34	0.4048741263
35	0.4043662694
36	0.4039697439
37	0.403379167
38	0.4029405953
39	0.4026505696
40	0.4021830445
41	0.4019045186
42	0.401548672
43	0.4010190907
44	0.4006522293
45	0.4000522985
46	0.3997834335
47	0.3993351291
48	0.3990285289
49	0.3986920376
50	0.3982052587
51	0.3978275679
52	0.3974224037
53	0.3969581701
54	0.3966337387
55	0.3963703101
56	0.3960686186
57	0.3956272898
58	0.3955117502
59	0.3952033697
60	0.394881741
61	0.3946051692
62	0.3943011408
63	0.3938906836
64	0.3935597497
65	0.393365755
66	0.392997587
67	0.3928323774
68	0.3925062625
69	0.3923339981
70	0.3919762102
71	0.3916631099
72	0.3913372753
73	0.3911615744
74	0.3908611477
75	0.3906336602
76	0.3903816409
77	0.3899182143
78	0.389600939
79	0.3893033481
80	0.3891203417
81	0.3889158958
82	0.3886558233
83	0.3884924274
84	0.3883705804
85	0.387920316
86	0.3874103755
87	0.3872263846
88	0.387041323
89	0.3867122024
90	0.386341435
91	0.3862078101
92	0.3859230499
93	0.3854876635
94	0.3853485541
95	0.3850093839
96	0.3848514819
97	0.3845707571
98	0.3844162972
99	0.3840547263
